counter;event
start;12/12/2022 2:26:32 PM
1;antfreeze_off
41;view_cleared
5,717;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
5,757;mode_#5_activated
5,761;display_black
5,971;rot_gain_set_to_1
6,270;view_cleared
11,850;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
11,888;SUCCESS
end;12/12/2022 2:30:54 PM
