"X";"Y";"cond";"time_sec";"lag_time_sec";"count"
0;0;"V";0.00245099997520447;NA;1
0;0.00203083991073072;"V";0.0249990005493164;0.0225480005741119;2
0;0.00338474009186029;"V";0.0489539985656738;0.0239549980163574;3
0;0.0047386297956109;"V";0.0731709976196289;0.0242169990539551;4
0;0.00609253020957112;"V";0.097370002746582;0.0241990051269531;5
0;0.00676946993917227;"V";0.121749000549316;0.0243789978027344;6
0;0.0101542100310326;"V";0.145380996704102;0.0236319961547852;7
0;0.0135389398783445;"V";0.169207000732422;0.0238260040283203;8
0;0.0162467304617167;"V";0.193955001831055;0.0247480010986328;9
0;0.0162467304617167;"V";0.217337005615234;0.0233820037841797;10
0;0.0162467304617167;"V";0.240776992797852;0.0234399871826172;11
0;0.0169236809015274;"V";0.264755004882813;0.0239780120849609;12
0;0.0169236809015274;"V";0.288721008300781;0.0239660034179687;13
0.000244469993049279;0.0162467304617167;"V";0.313957000732422;0.0252359924316407;14
0.000244469993049279;0.0162467304617167;"V";0.337579986572266;0.0236229858398437;15
0.000244469993049279;0.0169236809015274;"V";0.361688995361328;0.0241090087890625;16
0.000244469993049279;0.0169236809015274;"V";0.386700988769531;0.0250119934082031;17
0.000244469993049279;0.0169236809015274;"V";0.410910003662109;0.0242090148925782;18
0.000244469993049279;0.0169236809015274;"V";0.433975006103516;0.0230650024414062;19
0.000244469993049279;0.0162467304617167;"V";0.457688995361328;0.0237139892578125;20
0.000244469993049279;0.0162467304617167;"V";0.481247985839844;0.0235589904785156;21
0.000244469993049279;0.0162467304617167;"V";0.505075988769531;0.0238280029296876;22
0.000244469993049279;0.0162467304617167;"V";0.528703002929688;0.0236270141601562;23
0.000244469993049279;0.0162467304617167;"V";0.552112976074219;0.0234099731445312;24
0.000244469993049279;0.0162467304617167;"V";0.576370971679688;0.0242579956054688;25
0.000244469993049279;0.0162467304617167;"V";0.600119018554688;0.023748046875;26
0.000244469993049279;0.017600629478693;"V";0.627117980957031;0.0269989624023438;27
0.000244469993049279;0.0182775799185038;"V";0.650976989746094;0.0238590087890624;28
0.000244469993049279;0.0196314696222544;"V";0.6758759765625;0.0248989868164062;29
0.000244469993049279;0.0209853705018759;"V";0.695658996582031;0.0197830200195312;30
0.000977859948761761;0.0223392602056265;"V";0.719731994628906;0.024072998046875;31
0.0014667899813503;0.0236931592226028;"V";0.745177978515625;0.0254459838867188;32
0.00220018997788429;0.0270778890699148;"V";0.770153015136719;0.0249750366210937;33
0.00244465004652739;0.0284317899495363;"V";0.790460998535156;0.0203079833984375;34
0.00268911989405751;0.0297856796532869;"V";0.815971008300781;0.025510009765625;35
0.00342251011170447;0.0297856796532869;"V";0.840310974121094;0.0243399658203125;36
0.00464484002441168;0.0318165309727192;"V";0.864815979003906;0.0245050048828125;37
0.0048893098719418;0.0331704206764698;"V";0.889591979980469;0.0247760009765625;38
0.00537823978811502;0.0345243215560913;"V";0.910617980957031;0.0210260009765625;39
0.00586717016994953;0.0365551598370075;"V";0.935031005859375;0.0244130249023438;40
0.00635610008612275;0.0365551598370075;"V";0.959742980957031;0.0247119750976562;41
0.00635610008612275;0.0372321084141731;"V";0.983745971679687;0.0240029907226562;42
0.00684503000229597;0.037909060716629;"V";1.00836700439453;0.0246210327148437;43
0.0070894998498261;0.037909060716629;"V";1.03239001464844;0.0240230102539063;44
0.00782288983464241;0.037909060716629;"V";1.05696801757813;0.0245780029296876;45
0.00880074966698885;0.0392629504203796;"V";1.08174096679687;0.0247729492187498;46
0.0100230798125267;0.0412937998771667;"V";1.10620495605469;0.0244639892578127;47
0.0110009396448731;0.0399398989975452;"V";1.13260803222656;0.026403076171875;48
0.0112454099580646;0.0399398989975452;"V";1.15228503417969;0.0196770019531249;49
0.0117343403398991;0.0426476895809174;"V";1.17307299804688;0.0207879638671875;50
0.0124677401036024;0.0440015904605389;"V";1.19842004394531;0.0253470458984375;51
0.0134455999359488;0.046709381043911;"V";1.22297497558594;0.0245549316406251;52
0.0136900600045919;0.0487402193248272;"V";1.24674401855469;0.0237690429687498;53
0.0146679300814867;0.0494171716272831;"V";1.27128100585938;0.0245369873046877;54
0.0154013196006417;0.0500941202044487;"V";1.29678894042969;0.0255079345703124;55
0.0161347202956676;0.0500941202044487;"V";1.3182060546875;0.0214171142578126;56
0.0163791794329882;0.0507710687816143;"V";1.34383996582031;0.0256339111328125;57
0.0166236497461796;0.0514480099081993;"V";1.36775402832031;0.0239140624999998;58
0.0171125791966915;0.0534788593649864;"V";1.39202001953125;0.0242659912109375;59
0.01784598082304;0.0541558004915714;"V";1.41268798828125;0.02066796875;60
0.0185793694108725;0.0541558004915714;"V";1.43678796386719;0.0240999755859375;61
0.0193127691745758;0.054832749068737;"V";1.46180395507812;0.0250159912109376;62
0.0200461708009243;0.0561866499483585;"V";1.48567004394531;0.0238660888671876;63
0.0210240297019482;0.0582174882292747;"V";1.51013098144531;0.0244609375;64
0.0215129591524601;0.0609252788126469;"V";1.53475903320313;0.0246280517578126;65
0.0220018904656172;0.0629561170935631;"V";1.55489794921875;0.0201389160156249;66
0.0222463607788086;0.0656639188528061;"V";1.5792919921875;0.0243940429687499;67
0.0224908199161291;0.0670178234577179;"V";1.60370495605469;0.0244129638671875;68
0.022979749366641;0.0683717131614685;"V";1.62840295410156;0.0246979980468751;69
0.0239576101303101;0.0683717131614685;"V";1.65265698242188;0.0242540283203125;70
0.0244465507566929;0.0697256028652191;"V";1.67735400390625;0.0246970214843749;71
0.0251799393445253;0.0710795000195503;"V";1.70160095214844;0.0242469482421874;72
