"X";"Y";"cond";"time_sec";"lag_time_sec";"count"
0;0;"V";1.20000001043081e-05;NA;1
0.000488929974380881;0;"V";0.0309260005950928;0.0309140005949885;2
0.00073339999653399;-0.000676949974149466;"V";0.0584300003051758;0.027503999710083;3
0.00122233002912253;-0.00135389005299658;"V";0.0773649978637695;0.0189349975585937;4
0.00171125994529575;-0.00406167982146144;"V";0.103727996826172;0.0263629989624024;5
0.00195571989752352;-0.00406167982146144;"V";0.129046997070313;0.0253190002441406;6
0.00220018997788429;-0.00541557976976037;"V";0.154727996826172;0.0256809997558594;7
0.00220018997788429;-0.00609253020957112;"V";0.180481994628906;0.0257539978027344;8
0.00268911989405751;-0.0047386297956109;"V";0.200557006835937;0.0200750122070312;9
0.00268911989405751;-0.0047386297956109;"V";0.226313995361328;0.0257569885253906;10
0.00293357996270061;-0.00406167982146144;"V";0.251360992431641;0.0250469970703125;11
0.00342251011170447;-0.00338474009186029;"V";0.277218994140625;0.0258580017089844;12
0.00440037995576859;-0.0047386297956109;"V";0.302738006591797;0.0255190124511719;13
0.0051337699405849;-0.0081233698874712;"V";0.328404998779297;0.0256669921875;14
0.00586717016994953;-0.010831150226295;"V";0.354057006835937;0.0256520080566406;15
0.00684503000229597;-0.0101542100310326;"V";0.37977099609375;0.0257139892578125;16
0.00831182021647692;-0.0121850501745939;"V";0.405230010986328;0.0254590148925781;17
0.00904521998018026;-0.0128619996830821;"V";0.430571990966797;0.0253419799804687;18
0.00953415036201477;-0.010831150226295;"V";0.451707000732422;0.021135009765625;19
0.0105120101943612;-0.0142158903181553;"V";0.478299987792969;0.0265929870605469;20
0.0112454099580646;-0.0148928398266435;"V";0.500462005615234;0.0221620178222656;21
0.0127122001722455;-0.017600629478693;"V";0.526705993652344;0.0262439880371094;22
0.0136900600045919;-0.0182775799185038;"V";0.551934997558594;0.02522900390625;23
0.0144234597682953;-0.0203084200620651;"V";0.578638000488281;0.0267030029296875;24
0.0149123901501298;-0.0230162106454372;"V";0.601163024902344;0.0225250244140625;25
0.0156457908451557;-0.0236931592226028;"V";0.623158020019531;0.0219949951171875;26
0.0163791794329882;-0.026400949805975;"V";0.649630004882813;0.0264719848632813;27
0.0176015105098486;-0.0291087403893471;"V";0.675426025390625;0.0257960205078125;28
0.0185793694108725;-0.0324934795498848;"V";0.700567016601563;0.0251409912109375;29
0.0193127691745758;-0.0352012701332569;"V";0.726776000976562;0.026208984375;30
0.0200461708009243;-0.0338473692536354;"V";0.751882019042969;0.0251060180664063;31
0.0207795593887568;-0.0345243215560913;"V";0.777655029296875;0.0257730102539062;32
0.0220018904656172;-0.0358782187104225;"V";0.8033330078125;0.025677978515625;33
0.022979749366641;-0.0358782187104225;"V";0.82952001953125;0.0261870117187499;34
0.0242020804435015;-0.0372321084141731;"V";0.855119018554688;0.0255989990234375;35
0.0254244096577168;-0.037909060716629;"V";0.880830017089844;0.0257109985351562;36
0.0264022704213858;-0.0385860092937946;"V";0.901088012695312;0.0202579956054687;37
0.0273801293224096;-0.0385860092937946;"V";0.92722802734375;0.0261400146484375;38
0.0283579900860786;-0.0385860092937946;"V";0.952695007324219;0.0254669799804688;39
0.0293358508497477;-0.0385860092937946;"V";0.97856201171875;0.0258670043945313;40
0.0305581800639629;-0.0385860092937946;"V";1.00427502441406;0.0257130126953126;41
0.0320249795913696;-0.0392629615962505;"V";1.03040002441406;0.026125;42
0.0337362289428711;-0.0392629615962505;"V";1.05590698242187;0.0255069580078124;43
0.03569196164608;-0.0392629615962505;"V";1.08162902832031;0.0257220458984375;44
0.0378921404480934;-0.0392629615962505;"V";1.10741198730469;0.025782958984375;45
0.0393589399755001;-0.0392629615962505;"V";1.1301240234375;0.0227120361328126;46
0.0408257283270359;-0.0385860092937946;"V";1.15568603515625;0.0255620117187501;47
0.042292520403862;-0.0385860092937946;"V";1.18171496582031;0.0260289306640624;48
0.0437593199312687;-0.0385860092937946;"V";1.20827502441406;0.02656005859375;49
0.0452261082828045;-0.0385860092937946;"V";1.23416796875;0.0258929443359375;50
0.0464484393596649;-0.037909060716629;"V";1.25443994140625;0.0202719726562499;51
0.0476707592606544;-0.037909060716629;"V";1.28093798828125;0.026498046875;52
0.0486486293375492;-0.037909060716629;"V";1.30698205566406;0.0260440673828126;53
0.0496264882385731;-0.0372321084141731;"V";1.33256396484375;0.0255819091796874;54
0.0506043396890163;-0.0352012701332569;"V";1.35835205078125;0.0257880859375001;55
0.0520711317658424;-0.0345243215560913;"V";1.38405798339844;0.0257059326171873;56
0.0535379201173782;-0.0345243215560913;"V";1.41051501464844;0.0264570312500001;57
0.0545157790184021;-0.0345243215560913;"V";1.43559704589844;0.02508203125;58
0.055738091468811;-0.0324934795498848;"V";1.46531396484375;0.0297169189453126;59
0.0567159503698349;-0.0338473804295063;"V";1.48484802246094;0.0195340576171874;60
0.0584271997213364;-0.0345243215560913;"V";1.51068994140625;0.0258419189453125;61
0.0596495196223259;-0.0331704318523407;"V";1.53540905761719;0.0247191162109375;62
0.0611163191497326;-0.0324934795498848;"V";1.55633703613281;0.0209279785156251;63
0.0630720406770706;-0.0324934795498848;"V";1.58248095703125;0.0261439208984375;64
0.0650277733802795;-0.0324934795498848;"V";1.60853503417969;0.0260540771484374;65
0.0669834762811661;-0.0318165309727192;"V";1.62917602539063;0.0206409912109375;66
0.0691836699843407;-0.0318165309727192;"V";1.65485400390625;0.0256779785156249;67
0.0711393877863884;-0.0318165309727192;"V";1.68064404296875;0.0257900390625001;68
