Ant;Condition;Order;Mean angular speed;blocked oscillation;fourrier;nb_osci;nb_block
01;B;1;146.47565796372058;0.2413793103448276;0.22430074243545745;22;7
01;W;2;148.34252800430139;0.5789473684210527;0.2571843900257184;16;22
01;H;3;169.843959336674;0.5142857142857142;0.21265284423179157;17;18
01;0;4;207.07873009876892;0.5151515151515151;0.31008746605076876;16;17
01;2;5;107.66569453727017;0.15625;0.30347990288643106;27;5
01;V;6;186.3533638315934;0.48484848484848486;0.1717171717171717;17;16
02;W;1;192.44313026530915;0.5208333333333334;0.3046551303923958;23;25
02;0;2;243.1319426141667;0.4186046511627907;0.3275432145725033;25;18
02;B;3;154.24986669728963;0.08695652173913043;0.4836786573980338;42;4
02;V;4;248.752946772726;0.4722222222222222;0.2896613190730838;19;17
02;H;5;199.0283956220486;0.38461538461538464;0.24785551101340575;24;15
02;2;6;153.56603307505702;0.06451612903225806;0.6837718155769731;58;4
03;0;1;255.4319490431187;0.7647058823529411;0.1700029750520634;8;26
03;V;2;207.18539829236852;0.4074074074074074;0.14812933807347214;16;11
03;W;3;152.98441411276784;0.65;0.15528639247526507;14;26
03;2;4;118.08280572329458;0.3684210526315789;0.2597996425156919;24;14
03;B;5;151.499657470015;0.21212121212121213;0.20787139689578712;26;7
03;H;6;190.56574434948627;0.6388888888888888;0.12504689258471924;13;23
04;V;1;254.92129276555016;0.10714285714285714;0.2638575980839879;25;3
04;2;2;197.67396989339755;0.0;0.41037603403961204;36;0
04;0;3;202.53958302859849;0.3235294117647059;0.2192693943779327;23;11
04;H;4;201.0994655121243;0.12903225806451613;0.3286662722671399;27;4
04;W;5;201.87068557908825;0.27586206896551724;0.28239383078092756;21;8
04;B;6;176.6945115601061;0.1;0.33275655530413945;27;3
05;2;1;160.30351018365351;0.14634146341463414;0.44100044100044095;35;6
05;H;2;285.28777730154275;0.4375;0.25844801964204944;18;14
05;V;3;430.90656867641013;0.4666666666666667;0.18619373458083135;16;14
05;B;4;192.06076523021758;0.23809523809523808;0.41797283176593514;32;10
05;0;5;339.9972109943222;0.8611111111111112;0.21158050638267858;5;31
05;W;6;208.73850350632875;0.34375;0.2711680564029557;21;11
08;W;1;188.6502196822936;0.5686274509803921;0.18757033887707888;22;29
08;B;2;159.4958354044227;0.10416666666666667;0.44950225847476205;43;5
08;0;3;290.9111037883585;0.7;0.1353821160224734;9;21
08;H;4;201.47885589507737;0.5434782608695652;0.34669515188995703;21;25
08;V;5;298.8615803728767;0.6944444444444444;0.15712682379349044;11;25
08;2;6;106.1175729627852;0.1724137931034483;0.696240302367217;48;10
09;0;1;273.95757329567425;0.17857142857142858;0.24207213749697407;23;5
09;W;2;242.812056652216;0.41379310344827586;0.2340823970037453;17;12
09;V;3;285.2965216209168;0.5;0.2024701356549909;16;16
09;B;4;125.35573286079621;0.34210526315789475;0.23590469450342058;25;13
09;2;5;115.29927144203734;0.475;0.4055424129773572;21;19
09;H;6;184.2527011313697;0.5277777777777778;0.14536509001453649;17;19
10;V;1;225.37955236083505;0.6176470588235294;0.16199053975247843;13;21
10;0;2;197.19765474396982;0.5641025641025641;0.1914087685364281;17;22
10;2;3;119.41428220137921;0.2619047619047619;0.3374761439277568;31;11
10;W;4;193.19996767273716;0.6097560975609756;0.1580634963645396;16;25
10;H;5;203.1399716196944;0.631578947368421;0.25567487049511994;14;24
10;B;6;150.2878166296891;0.16666666666666666;0.37721614485099964;35;7
11;2;1;149.87423855235488;0.17647058823529413;0.5805542865844373;42;9
11;V;2;296.848755058911;0.3225806451612903;0.26737967914438504;21;10
11;H;3;277.1951766207667;0.41379310344827586;0.205987366108212;17;12
11;0;4;311.7734523526666;0.2;0.20089238512127555;20;5
11;B;5;195.97578427651078;0.18181818181818182;0.2829854969932791;27;6
11;W;6;269.5657485302685;0.53125;0.28650137741046827;15;17
12;H;1;178.03677168656168;0.25925925925925924;0.2554874255754021;20;7
12;2;2;118.6342168598119;0.21951219512195122;0.40323393616806785;32;9
12;B;3;164.67452950409645;0.125;0.3480606495681872;28;4
12;V;4;208.44230927083265;0.4375;0.2033760423022168;18;14
12;W;5;219.68278694530284;0.6111111111111112;0.2604520541740273;14;22
12;0;6;237.0677250573388;0.4;0.2489177489177489;18;12
13;B;1;149.76849985371965;0.43333333333333335;0.17353202750482635;17;13
13;W;2;196.19213905416134;0.5714285714285714;0.15695630336514313;15;20
13;H;3;203.29135977081714;0.6;0.20521239482864764;12;18
13;0;4;310.6932099181505;0.868421052631579;0.19079685746352412;5;33
13;2;5;127.31232060733696;0.4722222222222222;0.31011873117136274;19;17
13;V;6;311.4598551906993;0.5625;0.16810112963959117;14;18
14;W;1;151.3223165006521;0.6764705882352942;0.12950012950012948;11;23
14;0;2;165.05350104363188;0.7368421052631579;0.18847772821511588;10;28
14;B;3;106.3976549413341;0.10344827586206896;0.3037052034824863;26;3
14;V;4;241.8689647633132;0.75;0.12858428700012858;9;27
14;H;5;195.17688552581592;0.7777777777777778;0.14832055494706095;8;28
14;2;6;97.55868948955748;0.28;0.5414904268579251;36;14
