Ant;Eye;Trial;Gain;Order;Repetition;Mean angular speed;Mean angular velocity;blocked oscillation;fourrier;nb_osci;nb_block;Mean forward speed
01;2E;1;B;1;C1;119.6191098757277;-65.79676852464753;0.5666666666666667;0.21385342486259917;13;17;15.429994504525242
01;2E;1;-1;2;C1;341.7479658584118;-10.398999184978242;0.8181818181818182;0.12143631132533722;8;36;6.84604724669227
01;2E;1;5;3;C1;38.21835726299387;1.4521785456892808;0.16666666666666666;0.5763560993992596;35;7;13.580954841777825
01;2E;1;0;4;C1;92.45706049524306;14.199738858775596;0.5769230769230769;0.14590347923681257;11;15;13.785246229339009
01;2E;1;3;5;C1;40.24504526818241;-6.123040658910154;0.34375;0.224799928064023;21;11;15.862456608770081
01;2E;1;1;6;C1;80.50921987980483;-11.672829820898867;0.3181818181818182;0.1878743673054395;15;7;14.547270292572891
01;LE;2;B;1;C3;95.38915377580466;-38.62186820348182;0.4444444444444444;0.1300988751451103;20;16;8.518340482076418
01;LE;2;-1;2;C3;190.27590486074757;-159.65249929159353;0.8421052631578947;0.14710208884966167;6;32;7.14787449258994
01;LE;2;5;3;C3;83.55512990750543;-47.76187530312761;0.3939393939393939;0.15528639247526507;20;13;7.990106968617637
01;LE;2;0;4;C3;154.06544029576736;-152.75725272765195;0.9032258064516129;0.1798399424512184;3;28;8.099132781559065
01;LE;2;3;5;C3;68.88195124629938;-34.29101656314902;0.3888888888888889;0.31148489298269033;22;14;7.022267523492118
01;LE;2;1;6;C3;67.46582479841169;8.901288718397907;0.25;0.24753120195940484;15;5;7.523786086658818
01;RE;3;B;1;C2;121.09266811570316;-43.77060254272672;0.6176470588235294;0.13300525370752145;13;21;9.718612107777933
01;RE;3;-1;2;C2;114.40154660418423;-24.497901590939204;0.55;0.11046062078868882;18;22;6.841563389556115
01;RE;3;5;3;C2;55.58220126693671;13.837984355256866;0.47368421052631576;0.1768659356207994;20;18;6.294068637648591
01;RE;3;0;4;C2;89.80915931631887;44.594309731768284;0.625;0.20946795140343527;12;20;5.538619496585585
01;RE;3;3;5;C2;59.80071997827398;46.00950229662187;0.7647058823529411;0.333282059170384;8;26;6.640671425997778
01;RE;3;1;6;C2;80.37062740153775;32.48970195830127;0.6;0.3016109573486622;18;27;5.592089907389767
02;RE;4;-1;1;C1;133.2128149907107;75.46321846967706;0.5434782608695652;0.14485196129555591;21;25;5.346456908113397
02;RE;4;0;2;C1;105.28571029030743;52.014786102689904;0.25;0.3315003315003315;33;11;6.355833483899132
02;RE;4;B;3;C1;90.18128185637248;39.47182875958947;0.225;0.2725092653150207;31;9;6.1899541601185595
02;RE;4;1;4;C1;103.400464739223;59.807037052100824;0.4782608695652174;0.23787361671320714;24;22;6.2017482022928565
02;RE;4;5;5;C1;85.76448676744769;46.048570657203;0.3157894736842105;0.42221578845782665;26;12;6.890332971209592
02;RE;4;3;6;C1;94.00085330340967;60.3314064299561;0.39473684210526316;0.26055915995726825;23;15;6.326941087754355
03;2E;5;0;1;C2;149.20956748653663;29.161354854541166;0.5882352941176471;0.13670539986329458;14;20;9.104607930735833
03;2E;5;1;2;C2;85.23630867717391;-0.8742297816390026;0.2;0.22111314675595425;24;6;10.342112437993398
03;2E;5;-1;3;C2;220.4125307642145;-68.96116235244011;0.64;0.1374526845566622;18;32;3.5536715500592666
03;2E;5;3;4;C2;63.304989485584876;-1.9575322453903827;0.1;0.5294206625321434;36;4;10.834748040902126
03;2E;5;B;5;C2;65.79096469189285;-7.728433883337828;0.15;0.23482806501674425;34;6;7.147164829636728
03;2E;5;5;6;C2;48.58441087439457;9.941668931533682;0.08695652173913043;0.42910562128363877;42;4;11.022587329665292
03;LE;6;0;1;C1;103.94427506339004;73.85072819869241;0.6052631578947368;0.24402147388970227;15;23;12.387988804935315
03;LE;6;1;2;C1;84.03442414369206;44.415474844549735;0.3611111111111111;0.32748231595493843;23;13;13.448483626161556
03;LE;6;B;3;C1;69.82254524040044;22.00973398399698;0.2647058823529412;0.2939663408539722;25;9;10.7508857966941
03;LE;6;3;4;C1;62.95866439188367;8.229357633423277;0.125;0.2896613190730838;35;5;14.238882222593206
03;LE;6;-1;5;C1;125.48612982407856;38.651314515634134;0.40540540540540543;0.15500271254746958;22;15;13.903105924908617
03;LE;6;5;6;C1;50.3622087314051;14.425450483850165;0.2653061224489796;0.6206911839684335;36;13;14.346228176240226
04;2E;7;1;1;C1;137.05106703417383;19.517700775179904;0.3611111111111111;0.2777970692409195;23;13;10.043852872335817
04;2E;7;3;2;C1;110.41461123112897;9.717047776500356;0.24;0.47976078903913955;38;12;8.428373371808988
04;2E;7;0;3;C1;166.7589765715296;-18.001918303512145;0.42424242424242425;0.2109002109002109;19;14;10.204709579693914
04;2E;7;5;4;C1;114.94431878911689;-0.06766332174046069;0.2391304347826087;0.4830917874396135;35;11;10.038569783838774
04;2E;7;-1;5;C1;321.2909064286979;-102.4510657125672;0.46875;0.19948703334283271;17;15;8.494526669944122
04;2E;7;B;6;C1;120.77965681853667;6.676263870488492;0.15;0.43538836642284917;34;6;8.536869311685606
04;LE;8;1;1;C2;131.10829967693908;107.10849311239558;0.6060606060606061;0.25753283543651817;13;20;11.29679537261813
04;LE;8;3;2;C2;142.3604591714814;137.44441752973492;0.8;0.21245667002124566;8;32;12.555386088984518
04;LE;8;0;3;C2;274.82373863898573;267.4002705158803;0.9090909090909091;0.16019223067681215;2;20;12.890741078311917
