counter;event
start;12/14/2022 3:20:06 PM
1;antfreeze_off
48;view_cleared
5,817;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
6,028;rot_gain_set_to_1
6,070;mode_#5_activated
6,075;display_black
6,236;view_cleared
11,945;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
12,005;SUCCESS
end;12/14/2022 3:24:29 PM
